Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
31799,0.6375,-2.1667,-2.27E-12,1.51E-12,2.71E-10
39997,0.635,-2.1517,-7.78E-13,1.26E-12,2.76E-10
31803,0.6375,-2.1368,-2.29E-12,1.50E-12,2.79E-10
39998,0.635,-2.1218,-7.50E-13,6.02E-13,2.80E-10
40004,0.635,-1.9425,-1.76E-12,5.11E-13,3.18E-10
31820,0.6375,-2.0172,-2.38E-12,1.42E-12,3.05E-10
40002,0.635,-2.0023,-1.10E-12,1.21E-12,3.08E-10
31825,0.6375,-1.9874,-2.41E-12,1.42E-12,3.10E-10
40003,0.635,-1.9724,-1.13E-12,5.89E-13,3.10E-10
31840,0.6375,-1.8678,-2.56E-12,1.35E-12,3.25E-10
40007,0.635,-1.8529,-1.64E-12,1.20E-12,3.27E-10
31845,0.6375,-1.8379,-2.61E-12,1.34E-12,3.27E-10
40008,0.635,-1.823,-1.68E-12,6.36E-13,3.25E-10
40009,0.635,-1.7931,-2.20E-12,1.05E-12,3.29E-10
31853,0.6375,-1.7782,-2.71E-12,1.24E-12,3.28E-10
31863,0.6375,-1.7184,-2.82E-12,1.18E-12,3.24E-10
40012,0.635,-1.7034,-1.94E-12,4.95E-13,3.21E-10
31875,0.6375,-1.6287,-3.04E-12,1.12E-12,3.05E-10
31884,0.6375,-1.569,-3.29E-12,8.97E-13,2.83E-10
40017,0.635,-1.554,-4.10E-12,1.11E-12,2.75E-10
31888,0.6375,-1.5391,-3.42E-12,8.39E-13,2.68E-10
40018,0.635,-1.5241,-4.15E-12,8.53E-13,2.58E-10
40019,0.635,-1.4943,-5.26E-12,1.36E-12,2.37E-10
31896,0.6375,-1.4793,-3.73E-12,6.90E-13,2.29E-10
31904,0.6375,-1.4195,-4.13E-12,4.36E-13,1.74E-10
40022,0.635,-1.4046,-6.39E-12,1.19E-12,1.58E-10
39748,0.64,-1.3747,-4.93E-12,3.77E-12,1.24E-10
40023,0.635,-1.3747,-7.06E-12,1.23E-12,1.14E-10
40024,0.635,-1.3448,-8.54E-12,1.93E-12,7.67E-11
40029,0.635,-1.1954,-1.44E-11,3.62E-12,-2.62E-10
31926,0.6375,-1.2701,-5.59E-12,-4.82E-13,-5.76E-11
40027,0.635,-1.2552,-1.17E-11,8.66E-13,-9.81E-11
31930,0.6375,-1.2402,-6.00E-12,-6.62E-13,-1.28E-10
40028,0.635,-1.2253,-1.20E-11,1.46E-12,-1.62E-10
40034,0.635,-1.046,-2.53E-11,6.78E-12,-9.21E-10
31947,0.6375,-1.1207,-8.20E-12,-1.51E-12,-5.20E-10
40032,0.635,-1.1057,-2.06E-11,9.36E-13,-5.93E-10
31952,0.6375,-1.0908,-8.95E-12,-2.09E-12,-6.56E-10
40033,0.635,-1.0759,-2.14E-11,2.42E-12,-7.20E-10
40039,0.635,-0.89655,-4.73E-11,1.46E-11,-2.26E-09
31967,0.6375,-0.97126,-1.32E-11,-3.79E-12,-1.43E-09
40037,0.635,-0.95632,-3.83E-11,1.43E-12,-1.59E-09
