Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39728,0.64,-1.9724,-2.79E-05,1.24E-04,-3.46E-04
39733,0.64,-1.823,-2.83E-05,1.20E-04,-6.15E-04
39763,0.64,-0.92644,-2.78E-05,1.07E-04,-1.52E-03
39773,0.64,-0.62759,-2.77E-05,1.06E-04,-1.62E-03
39778,0.64,-0.47816,-2.74E-05,1.07E-04,-1.63E-03
31753,0.6375,-2.4655,-2.35E-05,7.83E-05,9.21E-04
39713,0.64,-2.4207,-3.86E-05,1.09E-04,7.98E-04
31775,0.6375,-2.346,-2.63E-05,4.85E-05,5.92E-04
39991,0.635,-2.331,-1.86E-06,4.56E-05,5.29E-04
31778,0.6375,-2.3161,-2.67E-05,4.65E-05,5.01E-04
39992,0.635,-2.3011,-2.54E-06,4.43E-05,4.42E-04
31783,0.6375,-2.2862,-2.70E-05,4.59E-05,4.15E-04
39993,0.635,-2.2713,1.18E-07,2.23E-05,3.86E-04
39994,0.635,-2.2414,-2.90E-06,4.52E-05,2.62E-04
31790,0.6375,-2.2264,-2.73E-05,4.37E-05,2.46E-04
39999,0.635,-2.092,-2.38E-06,2.61E-05,-1.14E-04
31799,0.6375,-2.1667,-2.76E-05,4.29E-05,8.79E-05
39997,0.635,-2.1517,-4.33E-06,4.31E-05,4.13E-05
31803,0.6375,-2.1368,-2.77E-05,4.31E-05,1.40E-05
39998,0.635,-2.1218,-1.76E-06,2.22E-05,-6.54E-06
40004,0.635,-1.9425,-2.64E-06,2.50E-05,-4.32E-04
31820,0.6375,-2.0172,-2.81E-05,4.14E-05,-2.62E-04
40002,0.635,-2.0023,-4.98E-06,4.00E-05,-3.03E-04
31825,0.6375,-1.9874,-2.82E-05,4.11E-05,-3.24E-04
40003,0.635,-1.9724,-2.48E-06,1.96E-05,-3.37E-04
31840,0.6375,-1.8678,-2.89E-05,4.01E-05,-5.49E-04
40007,0.635,-1.8529,-5.43E-06,3.88E-05,-5.82E-04
31845,0.6375,-1.8379,-2.89E-05,4.00E-05,-5.98E-04
40008,0.635,-1.823,-3.03E-06,1.88E-05,-6.03E-04
40009,0.635,-1.7931,-4.12E-06,3.98E-05,-6.95E-04
31853,0.6375,-1.7782,-2.89E-05,3.92E-05,-6.96E-04
31863,0.6375,-1.7184,-2.88E-05,3.90E-05,-7.86E-04
40012,0.635,-1.7034,-3.66E-06,1.94E-05,-7.97E-04
31875,0.6375,-1.6287,-2.86E-05,4.02E-05,-9.19E-04
31884,0.6375,-1.569,-2.90E-05,3.83E-05,-9.93E-04
40017,0.635,-1.554,-5.52E-06,3.76E-05,-1.02E-03
31888,0.6375,-1.5391,-2.91E-05,3.83E-05,-1.03E-03
40018,0.635,-1.5241,-3.62E-06,1.90E-05,-1.02E-03
40019,0.635,-1.4943,-4.02E-06,3.78E-05,-1.11E-03
31896,0.6375,-1.4793,-2.93E-05,3.77E-05,-1.10E-03
31904,0.6375,-1.4195,-2.94E-05,3.79E-05,-1.16E-03
40022,0.635,-1.4046,-4.66E-06,1.91E-05,-1.17E-03
39748,0.64,-1.3747,-3.66E-05,1.26E-04,-1.20E-03
40023,0.635,-1.3747,-1.01E-05,9.17E-05,-1.22E-03
40024,0.635,-1.3448,-3.92E-06,8.49E-05,-1.25E-03
40029,0.635,-1.1954,-1.63E-06,2.16E-05,-1.38E-03
31926,0.6375,-1.2701,-2.92E-05,3.74E-05,-1.30E-03
40027,0.635,-1.2552,-5.40E-06,3.65E-05,-1.32E-03
31930,0.6375,-1.2402,-2.94E-05,3.76E-05,-1.33E-03
40028,0.635,-1.2253,-3.72E-06,1.83E-05,-1.31E-03
40034,0.635,-1.046,-1.45E-06,2.12E-05,-1.47E-03
31947,0.6375,-1.1207,-2.95E-05,3.82E-05,-1.42E-03
40032,0.635,-1.1057,-5.37E-06,3.51E-05,-1.42E-03
31952,0.6375,-1.0908,-2.98E-05,3.71E-05,-1.43E-03
40033,0.635,-1.0759,-3.79E-06,1.79E-05,-1.42E-03
40039,0.635,-0.89655,-1.02E-06,2.09E-05,-1.55E-03
31967,0.6375,-0.97126,-2.97E-05,3.67E-05,-1.50E-03
40037,0.635,-0.95632,-5.49E-06,3.50E-05,-1.51E-03
31972,0.6375,-0.94138,-2.97E-05,3.67E-05,-1.52E-03
40038,0.635,-0.92644,-3.47E-06,1.65E-05,-1.50E-03
40044,0.635,-0.74713,-9.49E-07,2.05E-05,-1.61E-03
31988,0.6375,-0.82184,-2.96E-05,3.63E-05,-1.57E-03
40042,0.635,-0.8069,-5.10E-06,3.54E-05,-1.58E-03
31992,0.6375,-0.79195,-2.96E-05,3.64E-05,-1.58E-03
40043,0.635,-0.77701,-3.54E-06,1.74E-05,-1.56E-03
40049,0.635,-0.5977,-1.05E-06,1.97E-05,-1.64E-03
32008,0.6375,-0.67241,-2.99E-05,3.65E-05,-1.62E-03
40047,0.635,-0.65747,-4.99E-06,3.47E-05,-1.62E-03
32012,0.6375,-0.64253,-2.99E-05,3.67E-05,-1.62E-03
40048,0.635,-0.62759,-3.04E-06,1.62E-05,-1.60E-03
39790,0.64,-0.11954,-3.17E-05,1.10E-04,-1.46E-03
40065,0.635,-0.11954,6.23E-06,5.12E-05,-1.47E-03
32085,0.6375,-0.13448,-2.22E-05,4.42E-05,-1.50E-03
32089,0.6375,-0.1046,-2.02E-05,8.65E-05,-1.44E-03
39791,0.64,-8.97E-02,-4.59E-05,1.17E-04,-1.33E-03
40054,0.635,-0.44828,7.02E-07,2.07E-05,-1.65E-03
32028,0.6375,-0.52299,-2.97E-05,3.75E-05,-1.63E-03
40052,0.635,-0.50805,-4.31E-06,3.52E-05,-1.64E-03
32033,0.6375,-0.4931,-2.97E-05,3.72E-05,-1.63E-03
40053,0.635,-0.47816,-2.30E-06,1.64E-05,-1.61E-03
40056,0.635,-0.38851,-2.95E-06,3.66E-05,-1.65E-03
39783,0.64,-0.32874,-3.29E-05,1.08E-04,-1.63E-03
32055,0.6375,-0.34368,-2.93E-05,3.87E-05,-1.63E-03
40058,0.635,-0.32874,-6.87E-06,8.04E-05,-1.62E-03
39784,0.64,-0.29885,-3.37E-05,1.14E-04,-1.62E-03
40059,0.635,-0.29885,-6.75E-07,1.38E-04,-1.62E-03
32072,0.6375,-0.22414,-2.52E-05,5.20E-05,-1.58E-03
32067,0.6375,-0.25402,-2.45E-05,5.46E-05,-1.60E-03
40066,0.635,-8.97E-02,-8.17E-06,9.50E-05,-1.37E-03
39986,0.635,-2.4805,-1.61E-05,1.34E-04,9.68E-04
39711,0.64,-2.4805,-4.97E-05,2.21E-05,9.62E-04
39996,0.635,-2.1816,-3.91E-06,4.25E-05,1.04E-04
40001,0.635,-2.0322,-4.77E-06,4.06E-05,-2.52E-04
31815,0.6375,-2.0471,-2.08E-05,6.31E-05,-1.97E-04
40006,0.635,-1.8828,-5.27E-06,3.93E-05,-5.44E-04
31837,0.6375,-1.8977,-2.13E-05,6.10E-05,-4.97E-04
40011,0.635,-1.7333,-5.35E-06,3.75E-05,-7.84E-04
31867,0.6375,-1.6885,-2.08E-05,6.17E-05,-8.32E-04
40016,0.635,-1.5839,-5.47E-06,3.73E-05,-9.96E-04
31879,0.6375,-1.5989,-2.13E-05,5.81E-05,-9.57E-04
40021,0.635,-1.4345,-5.58E-06,3.63E-05,-1.17E-03
31909,0.6375,-1.3897,-2.11E-05,6.02E-05,-1.20E-03
40026,0.635,-1.2851,-5.43E-06,3.54E-05,-1.31E-03
31921,0.6375,-1.3,-2.15E-05,5.69E-05,-1.28E-03
40031,0.635,-1.1356,-5.45E-06,3.63E-05,-1.43E-03
31942,0.6375,-1.1506,-2.16E-05,5.59E-05,-1.40E-03
40036,0.635,-0.98621,-5.40E-06,3.53E-05,-1.51E-03
31964,0.6375,-1.0011,-2.16E-05,5.55E-05,-1.49E-03
40041,0.635,-0.83678,-5.20E-06,3.49E-05,-1.58E-03
31984,0.6375,-0.85172,-2.14E-05,5.50E-05,-1.56E-03
40046,0.635,-0.68736,-4.95E-06,3.49E-05,-1.63E-03
32003,0.6375,-0.7023,-2.14E-05,5.50E-05,-1.61E-03
39793,0.64,-2.99E-02,-1.01E-04,1.56E-05,-9.91E-04
39673,0.64,0,-7.54E-05,1.43E-17,-6.32E-04
40068,0.635,-2.99E-02,-1.62E-05,1.97E-04,-8.33E-04
39949,0.635,0,4.07E-05,3.38E-04,-2.08E-04
40051,0.635,-0.53793,-2.22E-06,3.23E-05,-1.65E-03
32023,0.6375,-0.55287,-2.30E-05,5.55E-05,-1.64E-03
32046,0.6375,-0.40345,-2.07E-05,5.59E-05,-1.64E-03
39988,0.635,-2.4207,-7.14E-06,7.30E-05,7.92E-04
32080,0.6375,-0.16437,-3.00E-05,3.43E-05,-1.54E-03
39789,0.64,-0.14943,-4.24E-05,3.24E-05,-1.51E-03
32094,0.6375,-7.47E-02,-1.67E-05,9.93E-05,-1.26E-03
