Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
410993,0.69221,0,-1.0175,1.61E-12,-4.02E-15,-5.61E-14
407496,0.68475,0,-0.21636,1.65E-12,-1.37E-16,3.64E-14
415390,0.69491,0,-0.25128,1.64E-12,-1.32E-15,2.79E-14
392716,0.6865,0,-0.33923,1.61E-12,-2.57E-15,1.53E-14
392813,0.68326,0,-0.33376,1.61E-12,-1.83E-15,1.54E-14
407542,0.68445,0,-0.30593,1.62E-12,-1.18E-15,1.98E-14
407541,0.69712,0,-0.29087,1.63E-12,-4.38E-15,2.40E-14
407572,0.69315,0,-0.88452,1.61E-12,-2.62E-15,-2.79E-14
410945,0.69703,0,-0.87749,1.61E-12,-4.24E-15,-2.66E-14
443750,0.7075,0,-0.8765,1.63E-12,-1.25E-14,-2.41E-14
392538,0.69733,0,-0.56027,1.64E-12,-5.02E-15,7.63E-16
443696,0.71196,0,-0.45566,1.65E-12,-1.74E-14,1.36E-15
407577,0.70766,0,-0.44121,1.64E-12,-1.34E-14,2.12E-15
410944,0.70303,0,-0.45525,1.63E-12,-7.11E-15,2.77E-15
410943,0.69433,0,-0.43075,1.61E-12,-2.54E-15,4.41E-15
415486,0.6838,0,-0.40677,1.61E-12,-1.58E-15,7.29E-15
392509,0.68387,0,-0.41711,1.61E-12,-6.62E-16,5.91E-15
443717,0.70529,0,-0.61242,1.66E-12,-2.17E-14,2.95E-15
393211,0.69677,0,-1.099,1.60E-12,-6.36E-15,-7.14E-14
407723,0.68749,0,-1.1054,1.59E-12,4.01E-16,-7.80E-14
410856,0.69642,0,-1.1048,1.60E-12,-5.28E-15,-7.46E-14
444948,0.70046,0,-1.1152,1.59E-12,-1.05E-14,-7.51E-14
410833,0.69736,0,-1.2363,1.53E-12,-3.70E-15,-1.43E-13
406080,0.59698,0,1.17E-02,-2.74E-13,9.62E-15,1.35E-12
410822,0.58487,0,1.65E-03,-3.36E-13,1.54E-15,1.20E-12
425169,0.58411,0,1.00E-02,-1.72E-13,-3.55E-15,1.24E-12
411111,0.69772,0,-1.4154,1.39E-12,-2.56E-15,-3.19E-13
407283,0.69061,0,-1.4083,1.40E-12,-1.62E-15,-3.22E-13
411423,0.69679,0,-2.1316,-6.70E-13,1.12E-15,-1.39E-13
406846,0.68949,0,-2.1256,-6.72E-13,-2.00E-17,-1.46E-13
406844,0.69295,0,-2.1415,-6.77E-13,3.52E-16,-1.35E-13
398594,0.6905,0,-2.3052,-7.23E-13,1.37E-15,-6.49E-14
410638,0.69695,0,-2.312,-7.24E-13,1.38E-15,-6.35E-14
397590,0.57941,0,-0.95808,1.32E-11,1.84E-13,2.44E-12
407585,0.69023,0,-0.69208,1.62E-12,-5.30E-15,3.26E-15
409768,0.68845,0,-2.4955,-7.01E-13,3.01E-15,-5.14E-14
445996,0.69645,0,-2.5006,-7.14E-13,7.64E-15,-5.63E-14
408641,0.58307,0,-2.5792,-5.92E-12,-3.11E-14,1.24E-12
392383,0.64837,0,-0.72409,1.63E-12,7.80E-15,-4.16E-15
443661,0.71187,0,-9.75E-02,1.74E-12,-1.14E-14,1.87E-13
192515,0.70304,0,-9.89E-02,1.76E-12,-6.73E-15,1.84E-13
408898,0.69565,0,-0.91865,1.62E-12,-4.96E-15,-3.05E-14
394128,0.69155,0,-1.5704,1.03E-12,-2.93E-16,-6.67E-13
393001,0.6872,0,-1.0343,1.61E-12,-4.44E-15,-5.96E-14
393117,0.68743,0,-1.2137,1.54E-12,-3.16E-15,-1.29E-13
392332,0.69109,0,-0.67315,1.62E-12,-4.86E-15,3.97E-15
388372,0.65295,0,-2.6082,-1.24E-12,5.03E-14,-8.75E-13
445579,0.66313,0,-2.6175,-1.35E-12,1.71E-14,-6.10E-13
419629,0.6375,0,0,2.66E-13,9.27E-16,3.23E-12
443679,0.71496,0,-0.24728,1.67E-12,-1.64E-14,4.11E-14
392790,0.708,0,-0.26165,1.66E-12,-8.89E-15,3.33E-14
193152,0.70637,0,-0.24674,1.65E-12,-8.76E-15,3.54E-14
446421,0.70187,0,-0.23692,1.65E-12,-8.81E-15,3.57E-14
444449,0.56299,0,-2.5441,-7.19E-12,-7.81E-14,2.30E-12
444322,0.55113,0,-2.5676,-6.48E-12,-7.79E-14,2.60E-12
193219,0.5468,0,-2.5504,-7.06E-12,-5.48E-14,2.85E-12
445143,0.5401,0,-2.5375,-7.53E-12,-7.78E-14,3.16E-12
444323,0.52824,0,-2.561,-6.82E-12,-7.76E-14,3.46E-12
443875,0.70754,0,-2.0425,-6.04E-13,1.24E-15,-2.04E-13
447229,0.69798,0,-3.81E-02,1.87E-12,-7.13E-15,5.07E-13
446457,0.68577,0,-4.16E-02,1.92E-12,1.46E-15,4.81E-13
443697,0.71348,0,-0.429,1.65E-12,-1.94E-14,2.65E-15
193243,0.70456,0,-0.4286,1.63E-12,-9.11E-15,4.06E-15
446375,0.70015,0,-0.41854,1.62E-12,-8.58E-15,4.94E-15
395967,0.71079,0,-1.7877,-5.72E-14,-4.71E-15,-5.83E-13
410746,0.69741,0,-1.7746,-1.59E-14,-1.82E-15,-6.72E-13
443847,0.70795,0,-1.7737,1.11E-14,6.27E-16,-6.34E-13
410621,0.69768,0,-2.2229,-7.06E-13,9.48E-16,-9.19E-14
443894,0.70832,0,-2.2219,-7.10E-13,4.32E-15,-8.84E-14
435522,0.577,0,-1.11,2.45E-11,2.69E-13,4.93E-12
430615,0.577,0,-2.26,-2.42E-11,-2.57E-13,4.98E-12
443741,0.73199,0,-0.7944,1.70E-12,-3.41E-14,-1.49E-14
446248,0.73648,0,-1.0458,1.74E-12,-5.20E-14,-6.51E-14
446247,0.74152,0,-1.0266,1.77E-12,-5.88E-14,-6.43E-14
447522,0.7483,0,-1.0394,1.83E-12,-8.09E-14,-6.82E-14
444922,0.71736,0,-0.75158,1.65E-12,-2.27E-14,2.53E-15
445872,0.71208,0,-1.2173,1.56E-12,-1.69E-14,-1.19E-13
443791,0.70759,0,-1.2351,1.54E-12,-1.09E-14,-1.33E-13
443792,0.7252,0,-1.2302,1.57E-12,-2.10E-14,-1.19E-13
445951,0.7124,0,-2.204,-7.04E-13,5.57E-15,-9.37E-14
443652,0.70544,0,2.01E-02,1.30E-12,-1.52E-14,8.56E-13
443650,0.71524,0,2.97E-02,1.26E-12,-2.54E-14,7.30E-13
445215,0.70366,0,4.06E-02,1.14E-12,-2.20E-14,8.92E-13
444598,0.74497,0,-0.8017,1.79E-12,-7.06E-14,-2.25E-14
444956,0.69975,0,-1.205,1.55E-12,-6.67E-15,-1.20E-13
444957,0.71736,0,-1.2002,1.57E-12,-1.69E-14,-1.06E-13
446217,0.72981,0,-1.1988,1.60E-12,-2.78E-14,-9.30E-14
444992,0.7175,0,-1.6487,6.16E-13,-1.16E-14,-6.64E-13
445909,0.71203,0,-1.6655,4.93E-13,-1.13E-14,-7.05E-13
446140,0.72981,0,-1.6474,6.15E-13,-1.01E-14,-6.02E-13
443866,0.70746,0,-1.9527,-5.02E-13,-3.82E-17,-3.10E-13
445927,0.71195,0,-1.9349,-4.71E-13,7.24E-17,-3.27E-13
443867,0.7252,0,-1.948,-4.69E-13,1.50E-15,-2.90E-13
444993,0.71761,0,-1.6351,6.76E-13,-6.97E-15,-6.57E-13
443952,0.55052,0,-2.5975,-5.39E-12,-5.78E-14,2.56E-12
446274,0.73032,0,-0.8405,1.70E-12,-4.41E-14,-2.64E-14
446175,0.73648,0,-1.4945,1.25E-12,-2.31E-14,-3.45E-13
445574,0.70391,0,-2.663,-1.07E-12,3.59E-14,4.14E-13
443948,0.54996,0,-2.5834,-5.93E-12,-6.88E-14,2.58E-12
444158,0.70777,0,-2.5374,-7.36E-13,1.18E-14,-7.99E-14
445543,0.69626,0,-2.5506,-7.21E-13,9.16E-15,-1.18E-13
443838,0.7252,0,-1.6789,4.58E-13,-1.04E-14,-6.21E-13
443837,0.70754,0,-1.6832,3.96E-13,-7.08E-15,-7.17E-13
446380,0.60281,0,3.31E-02,5.39E-14,-6.08E-16,1.39E-12
447585,0.61825,0,3.23E-02,2.40E-13,1.41E-14,1.98E-12
446275,0.74152,0,-0.84709,1.80E-12,-6.04E-14,-3.51E-14
447478,0.74214,0,-0.83405,1.79E-12,-5.46E-14,-3.28E-14
444923,0.71748,0,-0.7379,1.66E-12,-2.38E-14,9.58E-15
446290,0.72982,0,-0.75014,1.69E-12,-3.53E-14,1.02E-14
444589,0.74497,0,-0.89144,1.81E-12,-6.58E-14,-2.30E-14
446159,0.72981,0,-1.5577,1.03E-12,-1.54E-14,-4.82E-13
444985,0.71736,0,-1.5591,1.04E-12,-9.46E-15,-5.28E-13
444986,0.71748,0,-1.5454,1.09E-12,-1.03E-14,-5.02E-13
446450,0.72333,0,-4.79E-02,1.72E-12,-2.58E-14,3.63E-13
446452,0.73667,0,-5.62E-02,1.71E-12,-2.26E-14,3.10E-13
447266,0.72667,0,-6.12E-02,1.75E-12,-1.74E-14,3.09E-13
446096,0.74151,0,-1.924,-4.22E-13,5.42E-15,-2.87E-13
447746,0.74829,0,-1.9368,-4.37E-13,8.31E-15,-2.59E-13
446097,0.73647,0,-1.9431,-4.52E-13,4.49E-15,-2.79E-13
445036,0.71761,0,-2.1871,-6.95E-13,6.06E-15,-1.00E-13
445037,0.71772,0,-2.1734,-6.89E-13,6.42E-15,-1.07E-13
446047,0.7298,0,-2.1858,-6.99E-13,1.02E-14,-9.58E-14
443895,0.7256,0,-2.2174,-7.11E-13,8.55E-15,-8.39E-14
446013,0.73646,0,-2.3918,-7.73E-13,2.16E-14,-4.50E-14
445043,0.71769,0,-2.2769,-7.34E-13,1.06E-14,-6.82E-14
445044,0.71781,0,-2.2632,-7.27E-13,8.00E-15,-7.19E-14
446027,0.7298,0,-2.2755,-7.43E-13,1.54E-14,-6.47E-14
444491,0.73829,0,-1.9867,-5.19E-13,4.97E-15,-2.27E-13
443864,0.73369,0,-1.9732,-5.04E-13,4.08E-15,-2.46E-13
443869,0.72531,0,-1.9792,-5.15E-13,2.28E-15,-2.54E-13
444558,0.7383,0,-1.2688,1.58E-12,-3.92E-14,-1.41E-13
444941,0.69902,0,-1.0258,1.61E-12,-9.00E-15,-5.77E-14
444942,0.71687,0,-1.021,1.65E-12,-1.93E-14,-5.77E-14
445855,0.71185,0,-1.0378,1.65E-12,-1.97E-14,-6.12E-14
444574,0.73894,0,-1.0899,1.74E-12,-4.69E-14,-4.95E-14
443770,0.73369,0,-1.0759,1.73E-12,-3.44E-14,-5.25E-14
443775,0.72596,0,-1.0826,1.67E-12,-2.92E-14,-5.47E-14
444943,0.71698,0,-1.0073,1.65E-12,-2.03E-14,-5.39E-14
446246,0.72982,0,-1.0193,1.69E-12,-3.10E-14,-5.73E-14
443764,0.72541,0,-0.99262,1.67E-12,-2.70E-14,-5.04E-14
444950,0.71846,0,-1.0975,1.64E-12,-2.69E-14,-5.99E-14
443774,0.73199,0,-1.0636,1.73E-12,-4.54E-14,-6.33E-14
444091,0.58741,0,3.50E-02,-4.98E-15,-3.51E-15,1.30E-12
444095,0.594,0,4.81E-02,1.59E-13,-8.65E-15,1.31E-12
443793,0.73199,0,-1.243,1.60E-12,-4.35E-14,-1.23E-13
443840,0.72532,0,-1.71,3.20E-13,-6.63E-15,-6.02E-13
444999,0.71697,0,-1.7389,1.85E-13,-3.43E-15,-6.38E-13
443839,0.73198,0,-1.6917,4.18E-13,-1.24E-14,-5.82E-13
443835,0.73369,0,-1.704,3.56E-13,-8.81E-15,-5.71E-13
444515,0.74496,0,-1.6991,4.13E-13,-1.50E-14,-5.19E-13
445000,0.71708,0,-1.7252,2.51E-13,-3.58E-15,-6.38E-13
446125,0.72981,0,-1.7372,2.14E-13,-6.92E-15,-5.70E-13
445014,0.71736,0,-1.9179,-4.36E-13,5.39E-17,-3.48E-13
443868,0.73198,0,-1.9609,-4.84E-13,4.38E-15,-2.62E-13
444490,0.74496,0,-1.9683,-4.87E-13,7.08E-15,-2.35E-13
445015,0.71747,0,-1.9042,-4.08E-13,-1.23E-16,-3.64E-13
446095,0.7298,0,-1.9166,-4.10E-13,1.43E-15,-3.22E-13
445029,0.71747,0,-2.0837,-6.33E-13,5.55E-15,-1.62E-13
443639,0.70967,0,-2.6119,-9.39E-13,2.86E-14,-5.12E-16
443640,0.72371,0,-2.6155,-9.36E-13,3.21E-14,4.72E-14
446844,0.71599,0,-2.6012,-9.09E-13,1.99E-14,-4.49E-14
444984,0.70002,0,-1.5637,1.03E-12,-2.48E-15,-6.14E-13
444539,0.74496,0,-1.4299,1.47E-12,-5.90E-14,-2.31E-13
444958,0.71748,0,-1.1865,1.58E-12,-1.75E-14,-9.45E-14
443718,0.71496,0,-0.60615,1.68E-12,-2.83E-14,3.37E-15
443922,0.70645,0,-2.4958,-7.35E-13,1.05E-14,-5.14E-14
445058,0.71951,0,-2.4424,-7.45E-13,9.17E-15,-4.48E-14
