,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),,Bsum_terre sur axe (T),Bx_terre sur axe (T),By_terre sur axe (T),Bz_terre sur axe (T)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0826,-1.35E-08,-1.10E-08,9.54E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0955,-1.46E-08,-1.34E-08,9.14E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1085,-1.58E-08,-1.58E-08,8.75E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1214,-1.61E-08,-1.60E-08,8.42E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1343,-1.64E-08,-1.63E-08,8.10E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1473,-1.68E-08,-1.65E-08,7.78E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1602,-1.69E-08,-1.65E-08,7.47E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1731,-1.63E-08,-1.56E-08,7.21E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1861,-1.56E-08,-1.48E-08,6.95E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.199,-1.50E-08,-1.39E-08,6.69E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2119,-1.46E-08,-1.34E-08,6.44E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2249,-1.44E-08,-1.33E-08,6.19E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2378,-1.42E-08,-1.32E-08,5.94E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2507,-1.41E-08,-1.31E-08,5.69E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2637,-1.37E-08,-1.29E-08,5.47E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2766,-1.32E-08,-1.27E-08,5.25E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2896,-1.27E-08,-1.25E-08,5.04E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3025,-1.23E-08,-1.23E-08,4.82E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3154,-1.12E-08,-1.13E-08,4.67E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3284,-1.00E-08,-1.03E-08,4.51E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3413,-8.89E-09,-9.31E-09,4.36E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3542,-7.97E-09,-8.44E-09,4.20E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3672,-8.01E-09,-8.09E-09,3.99E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3801,-8.05E-09,-7.75E-09,3.78E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.393,-8.09E-09,-7.41E-09,3.57E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.406,-8.19E-09,-7.05E-09,3.39E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4189,-8.39E-09,-6.68E-09,3.25E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4318,-8.59E-09,-6.31E-09,3.11E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4448,-8.79E-09,-5.94E-09,2.97E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4577,-8.35E-09,-6.27E-09,2.86E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4706,-7.57E-09,-6.97E-09,2.77E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4836,-6.79E-09,-7.68E-09,2.68E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4965,-6.01E-09,-8.38E-09,2.59E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5095,-5.73E-09,-5.06E-09,2.27E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5224,-4.62E-09,-4.05E-09,2.21E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5353,-3.51E-09,-3.04E-09,2.16E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5483,-2.91E-09,-2.53E-09,2.09E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5612,-3.79E-09,-3.49E-09,1.99E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5741,-4.68E-09,-4.45E-09,1.88E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5871,-5.56E-09,-5.41E-09,1.78E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,-5.50E-09,-5.39E-09,1.68E-07,,,,,,,,,,,,,
